iter	Passed	Remaining
428	1738	2314
429	1744	2313
430	1748	2307
431	1751	2302
432	1754	2297
433	1758	2292
434	1761	2288
435	1765	2283
436	1768	2278
437	1776	2279
438	1780	2274
439	1784	2270
440	1787	2265
441	1790	2260
442	1794	2255
443	1799	2253
444	1802	2248
445	1805	2242
446	1809	2238
447	1812	2233
448	1816	2228
449	1819	2224
450	1823	2220
451	1828	2216
452	1832	2212
453	1836	2208
454	1839	2203
455	1843	2198
456	1846	2194
457	1850	2189
458	1853	2184
459	1857	2180
460	1860	2175
461	1864	2170
462	1867	2166
463	1871	2161
464	1875	2157
465	1878	2152
466	1882	2148
467	1885	2143
468	1889	2139
469	1893	2135
470	1897	2131
471	1901	2127
472	1905	2122
473	1909	2118
474	1913	2114
475	1916	2110
476	1920	2105
477	1924	2101
478	1928	2097
479	1932	2093
480	1936	2089
481	1939	2084
482	1943	2080
483	1947	2075
484	1950	2071
485	1954	2067
486	1958	2062
487	1961	2058
488	1965	2054
489	1969	2049
490	1972	2045
491	1976	2040
492	1980	2037
493	1984	2032
494	1988	2028
495	1991	2023
496	1995	2020
497	1999	2015
498	2003	2011
499	2007	2007
500	2010	2002
501	2014	1998
502	2018	1993
503	2022	1990
504	2026	1986
505	2030	1982
506	2033	1977
507	2037	1973
508	2041	1968
509	2045	1965
510	2048	1960
511	2053	1956
512	2056	1952
513	2060	1948
514	2064	1943
515	2067	1939
516	2071	1935
517	2075	1930
518	2078	1926
519	2081	1921
520	2085	1917
521	2089	1912
522	2092	1908
523	2096	1904
524	2099	1899
525	2103	1895
526	2107	1891
527	2110	1886
528	2114	1882
529	2118	1878
530	2121	1874
531	2125	1869
532	2128	1865
533	2132	1860
534	2136	1856
535	2139	1852
536	2143	1848
537	2148	1844
538	2151	1840
539	2156	1836
540	2160	1832
541	2164	1828
542	2168	1825
543	2172	1821
544	2176	1817
545	2180	1812
546	2183	1808
547	2188	1804
548	2192	1800
549	2195	1796
550	2199	1792
551	2203	1788
552	2207	1784
553	2211	1780
554	2215	1776
555	2219	1772
556	2224	1769
557	2228	1764
558	2231	1760
559	2235	1756
560	2238	1752
561	2242	1747
562	2245	1743
563	2249	1738
564	2253	1735
565	2257	1730
566	2260	1726
567	2264	1722
568	2267	1717
569	2271	1713
570	2274	1708
571	2278	1704
572	2281	1700
573	2285	1696
574	2289	1692
575	2293	1687
576	2296	1683
577	2300	1679
578	2304	1675
579	2308	1671
580	2312	1667
581	2317	1664
582	2322	1661
583	2326	1657
584	2330	1652
585	2334	1649
586	2338	1645
587	2341	1640
588	2346	1637
589	2349	1632
590	2352	1628
591	2356	1624
592	2359	1619
593	2363	1615
594	2366	1610
595	2370	1606
596	2374	1602
597	2377	1598
598	2381	1594
599	2385	1590
600	2388	1585
601	2392	1581
602	2396	1577
603	2399	1573
604	2402	1568
605	2407	1565
606	2411	1561
607	2415	1557
608	2418	1553
609	2422	1548
610	2426	1544
611	2429	1540
612	2433	1536
613	2437	1532
614	2441	1528
615	2445	1524
616	2448	1520
617	2452	1516
618	2456	1512
619	2460	1507
620	2464	1503
621	2468	1500
622	2473	1496
623	2477	1492
624	2481	1489
625	2485	1484
626	2489	1481
627	2493	1476
628	2497	1473
629	2501	1469
630	2505	1464
631	2508	1460
632	2512	1456
633	2515	1452
634	2519	1448
635	2523	1444
636	2526	1439
637	2531	1436
638	2534	1431
639	2539	1428
640	2543	1424
641	2552	1423
642	2555	1418
643	2558	1414
644	2562	1410
645	2566	1406
646	2569	1401
647	2573	1397
648	2578	1394
649	2586	1392
650	2591	1389
651	2595	1385
652	2598	1381
653	2602	1376
654	2606	1372
655	2610	1368
656	2613	1364
657	2617	1360
658	2620	1355
659	2623	1351
660	2627	1347
661	2631	1343
662	2635	1339
663	2638	1335
664	2641	1330
665	2645	1326
666	2649	1322
667	2652	1318
668	2656	1314
669	2660	1310
670	2664	1306
671	2668	1302
672	2671	1298
673	2675	1293
674	2678	1289
675	2682	1285
676	2685	1281
677	2689	1277
678	2693	1273
679	2697	1269
680	2700	1265
681	2704	1261
682	2708	1256
683	2712	1252
684	2716	1249
685	2720	1245
686	2723	1241
687	2728	1237
688	2732	1233
689	2737	1229
690	2741	1225
691	2745	1221
692	2749	1218
693	2753	1214
694	2757	1210
695	2760	1205
696	2764	1201
697	2768	1197
698	2771	1193
699	2775	1189
700	2779	1185
701	2782	1181
702	2786	1177
703	2789	1172
704	2793	1168
705	2796	1164
706	2800	1160
707	2803	1156
708	2807	1152
709	2812	1148
710	2816	1144
711	2823	1141
712	2826	1137
713	2830	1133
714	2833	1129
715	2837	1125
716	2840	1121
717	2844	1117
718	2848	1113
719	2852	1109
720	2861	1107
721	2865	1103
722	2869	1099
723	2873	1095
724	2877	1091
725	2881	1087
726	2885	1083
727	2888	1079
728	2893	1075
729	2897	1071
730	2901	1067
731	2904	1063
732	2908	1059
733	2913	1055
734	2916	1051
735	2920	1047
736	2924	1043
737	2928	1039
738	2932	1035
739	2935	1031
740	2939	1027
741	2942	1023
742	2945	1019
743	2949	1014
744	2952	1010
745	2957	1006
746	2960	1002
747	2964	998
