iter	Logloss
0	0.6739255888
1	0.6560546558
2	0.6396608121
3	0.6221005014
4	0.6084446167
5	0.593039423
6	0.5787181235
7	0.5674655714
8	0.5544513833
9	0.5408717792
10	0.5298193266
11	0.5189883396
12	0.509085094
13	0.4969427879
14	0.4868349328
15	0.4795873827
16	0.4716701214
17	0.4628627805
18	0.4527509226
19	0.4460369724
20	0.4394479561
21	0.433995848
22	0.4263620629
23	0.4192039909
24	0.4140944163
25	0.4091022866
26	0.4026623002
27	0.3970910734
28	0.3916783638
29	0.3845281282
30	0.3800702801
31	0.3746737549
32	0.3701313829
33	0.3650236178
34	0.3613960412
35	0.3583552599
36	0.3549735842
37	0.3504611485
38	0.346521477
39	0.3427675455
40	0.3369343273
41	0.3333801913
42	0.329466007
43	0.3258850769
44	0.3223383615
45	0.3194862919
46	0.3167939817
47	0.3142315974
48	0.3107400284
49	0.3079387741
50	0.3035420162
51	0.2989635522
52	0.2970277604
53	0.2934504033
54	0.2903394031
55	0.2865865391
56	0.2838056928
57	0.2806540018
58	0.2787865973
59	0.2766064881
60	0.2725511252
61	0.2697925041
62	0.2678589643
63	0.2658527696
64	0.2625405341
65	0.2601246934
66	0.2579544292
67	0.2552203519
68	0.2533932296
69	0.2517451745
70	0.2500566628
71	0.2480747717
72	0.2464099497
73	0.2448511353
74	0.2433607419
75	0.2406710526
76	0.2388752449
77	0.2372167346
78	0.235808416
79	0.2341855347
80	0.2326861625
81	0.2304096283
82	0.2281332351
83	0.2267622583
84	0.2254899255
85	0.2234558578
86	0.2201716174
87	0.2181633757
88	0.216638657
89	0.2156540672
90	0.2136942314
91	0.2125460701
92	0.2106112693
93	0.2088192895
94	0.2072160357
95	0.2052114414
96	0.203027904
97	0.201651264
98	0.2004527455
99	0.198983274
100	0.1983698906
101	0.1967161403
102	0.1950703667
103	0.193627991
104	0.1914143743
105	0.1906144749
106	0.189749759
107	0.1883782641
108	0.1874630754
109	0.1867152494
110	0.1861205071
111	0.1851476713
112	0.1838799687
113	0.1828208081
114	0.1819058352
115	0.1811652824
116	0.1801073912
117	0.1784134083
118	0.177765617
119	0.1771652169
120	0.1760337013
121	0.1752485473
122	0.1742396567
123	0.1730795407
124	0.172119163
125	0.1710879036
126	0.1696321005
127	0.1689407093
128	0.1679886274
129	0.1668109181
130	0.166072837
131	0.1653070509
132	0.1642365324
133	0.1634609631
134	0.162877394
135	0.1621755343
136	0.1615617278
137	0.1605590189
138	0.1594436435
139	0.1586296002
140	0.157228581
141	0.1565269573
142	0.1557717735
143	0.1551338075
144	0.1540623967
145	0.1535981011
146	0.1531972869
147	0.1527278628
148	0.1521995694
149	0.151259679
150	0.1501818552
151	0.1491995918
152	0.1484676251
153	0.1477706758
154	0.1473017971
155	0.1463467354
156	0.1454894601
157	0.1446407164
158	0.1439220773
159	0.143184981
160	0.1421566955
161	0.1419448315
162	0.1410467691
163	0.1403470981
164	0.1400754443
165	0.1396357021
166	0.1382677183
167	0.1377234447
168	0.1369839739
169	0.1362984482
170	0.1357840216
171	0.1349542614
172	0.1340924393
173	0.1333362193
174	0.1327345054
175	0.132086164
176	0.1311215067
177	0.1305450333
178	0.1296727539
179	0.1292003734
180	0.1284557814
181	0.1270756916
182	0.1264489737
183	0.1259092918
184	0.1251661605
185	0.1249015288
186	0.1239682731
187	0.1231408468
188	0.1225106189
189	0.1218065229
190	0.121536253
191	0.1210112882
192	0.1205523383
193	0.1201553759
194	0.1196043491
195	0.1191115039
196	0.1186516135
197	0.1180042388
198	0.1176978539
199	0.1169148593
200	0.1163245697
201	0.1159800825
202	0.1152487678
203	0.1149216265
204	0.1143953754
205	0.1140436319
206	0.1135874272
207	0.1130001238
208	0.1124612286
209	0.1120327351
210	0.1115019182
211	0.1109461842
212	0.1105767827
213	0.1100005023
214	0.1095382905
215	0.1086888524
216	0.1083240874
217	0.1077326985
218	0.1072041581
219	0.1068516393
220	0.1064033767
221	0.1059341473
222	0.1055247515
223	0.1050683907
224	0.1047588405
225	0.1040356379
226	0.1036223494
227	0.1034419211
228	0.1030281148
229	0.1027416842
230	0.1025082838
231	0.1021253577
232	0.1017991751
233	0.1011645986
234	0.100685648
235	0.1001795948
236	0.09970438607
237	0.09951132557
238	0.09914021222
239	0.09902324511
