지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
129,2018-01-01 0:00,-2.1,0,70,1.1,1023.6,1027.3,70,0,0
129,2018-01-01 1:00,-3.5,0,90,1,1023.5,1027.2,79,0,0
129,2018-01-01 2:00,-4.3,0,0,0.4,1023.5,1027.3,86,0,0
129,2018-01-01 3:00,-5.1,0,0,0.2,1023.8,1027.6,89,0,0
129,2018-01-01 4:00,-5.6,0,20,0.6,1023.8,1027.6,90,0,0
129,2018-01-01 5:00,-5.3,0,0,0.1,1023.8,1027.6,88,0,0
129,2018-01-01 6:00,-5.9,0,90,0.7,1023.8,1027.6,88,0,0
129,2018-01-01 7:00,-6.5,0,110,0.5,1024.2,1028,91,0,0
129,2018-01-01 8:00,-6.5,0,110,1.1,1024.7,1028.5,91,0,0
129,2018-01-01 9:00,-4.3,0,0,0,1025.1,1028.9,87,0.18,2520
129,2018-01-01 10:00,-1.5,0,270,0.5,1025.9,1029.6,71,0.45,3600
129,2018-01-01 11:00,1.4,0,250,1.3,1026.3,1030,59,0.9,3600
129,2018-01-01 12:00,2.3,0,250,0.7,1025.8,1029.5,42,1.2,3600
129,2018-01-01 13:00,2.6,0,160,0.8,1025.1,1028.8,42,1.32,3600
129,2018-01-01 14:00,3,0,200,1.7,1024.5,1028.2,44,1.63,3600
129,2018-01-01 15:00,3.7,0,200,2.2,1024.4,1028,44,0.6,3600
129,2018-01-01 16:00,3.5,0,230,2,1024.6,1028.2,46,0.48,3600
129,2018-01-01 17:00,2.4,0,200,2,1025.1,1028.8,53,0.19,3600
129,2018-01-01 18:00,0.8,0,180,1.5,1025.1,1028.8,59,0,0
129,2018-01-01 19:00,-1.4,0,0,0.2,1025.3,1029,74,0,0
129,2018-01-01 20:00,-2.1,0,0,0.1,1025.5,1029.2,81,0,0
129,2018-01-01 21:00,-3,0,0,0,1025.7,1029.4,84,0,0
